n = 1 | d = 1 | goodJ.size() = 0 | err = 0.0
n = 601 | d = 761 | goodJ.size() = 21 | err = 0.5108153078202995
n = 601 | d = 771 | goodJ.size() = 14 | err = 0.47254575707154745
n = 601 | d = 781 | goodJ.size() = 22 | err = 0.5058236272878536
n = 601 | d = 791 | goodJ.size() = 13 | err = 0.49584026622296173
n = 601 | d = 801 | goodJ.size() = 11 | err = 0.5058236272878536
n = 601 | d = 811 | goodJ.size() = 17 | err = 0.46921797004991683
n = 601 | d = 821 | goodJ.size() = 16 | err = 0.49750415973377704
n = 601 | d = 831 | goodJ.size() = 20 | err = 0.4875207986688852
n = 601 | d = 841 | goodJ.size() = 17 | err = 0.49417637271214643
n = 601 | d = 851 | goodJ.size() = 13 | err = 0.49584026622296173
n = 601 | d = 861 | goodJ.size() = 19 | err = 0.47254575707154745
n = 601 | d = 871 | goodJ.size() = 11 | err = 0.4841930116472546
n = 601 | d = 881 | goodJ.size() = 20 | err = 0.49750415973377704
n = 601 | d = 891 | goodJ.size() = 14 | err = 0.5091514143094842
n = 601 | d = 901 | goodJ.size() = 23 | err = 0.519134775374376
n = 601 | d = 911 | goodJ.size() = 15 | err = 0.49584026622296173
n = 601 | d = 921 | goodJ.size() = 22 | err = 0.49750415973377704
n = 601 | d = 931 | goodJ.size() = 23 | err = 0.49916805324459235
n = 601 | d = 941 | goodJ.size() = 13 | err = 0.5008319467554077
n = 601 | d = 951 | goodJ.size() = 19 | err = 0.47587354409317806
n = 601 | d = 961 | goodJ.size() = 17 | err = 0.5058236272878536
n = 601 | d = 971 | goodJ.size() = 15 | err = 0.5690515806988353
n = 601 | d = 981 | goodJ.size() = 16 | err = 0.49417637271214643
n = 601 | d = 991 | goodJ.size() = 16 | err = 0.4825291181364393
n = 611 | d = 1 | goodJ.size() = 0 | err = 0.5270049099836334
n = 611 | d = 11 | goodJ.size() = 2 | err = 0.5122749590834698
n = 611 | d = 21 | goodJ.size() = 0 | err = 0.4926350245499182
n = 611 | d = 31 | goodJ.size() = 0 | err = 0.4975450081833061
n = 611 | d = 41 | goodJ.size() = 3 | err = 0.5286415711947627
n = 611 | d = 51 | goodJ.size() = 3 | err = 0.5040916530278232
n = 611 | d = 61 | goodJ.size() = 1 | err = 0.4844517184942717
n = 611 | d = 71 | goodJ.size() = 2 | err = 0.4909983633387889
n = 611 | d = 81 | goodJ.size() = 2 | err = 0.4828150572831424
n = 611 | d = 91 | goodJ.size() = 2 | err = 0.4959083469721768
n = 611 | d = 101 | goodJ.size() = 1 | err = 0.5155482815057283
n = 611 | d = 111 | goodJ.size() = 1 | err = 0.47463175122749596
n = 611 | d = 121 | goodJ.size() = 3 | err = 0.4893617021276596
n = 611 | d = 131 | goodJ.size() = 3 | err = 0.5155482815057283
n = 611 | d = 141 | goodJ.size() = 4 | err = 0.502454991816694
n = 611 | d = 151 | goodJ.size() = 1 | err = 0.4762684124386252
n = 611 | d = 161 | goodJ.size() = 1 | err = 0.49427168576104746
n = 611 | d = 171 | goodJ.size() = 4 | err = 0.5040916530278232
n = 611 | d = 181 | goodJ.size() = 2 | err = 0.5286415711947627
n = 611 | d = 191 | goodJ.size() = 7 | err = 0.4762684124386252
n = 611 | d = 201 | goodJ.size() = 4 | err = 0.5073649754500819
n = 611 | d = 211 | goodJ.size() = 5 | err = 0.4893617021276596
n = 611 | d = 221 | goodJ.size() = 4 | err = 0.4909983633387889
n = 611 | d = 231 | goodJ.size() = 8 | err = 0.4811783960720131
n = 611 | d = 241 | goodJ.size() = 3 | err = 0.5433715220949263
n = 611 | d = 251 | goodJ.size() = 5 | err = 0.4959083469721768
n = 611 | d = 261 | goodJ.size() = 3 | err = 0.46481178396072015
n = 611 | d = 271 | goodJ.size() = 1 | err = 0.5073649754500819
n = 611 | d = 281 | goodJ.size() = 4 | err = 0.4959083469721768
n = 611 | d = 291 | goodJ.size() = 6 | err = 0.49427168576104746
n = 611 | d = 301 | goodJ.size() = 8 | err = 0.4975450081833061
n = 611 | d = 311 | goodJ.size() = 8 | err = 0.4975450081833061
n = 611 | d = 321 | goodJ.size() = 4 | err = 0.5040916530278232
n = 611 | d = 331 | goodJ.size() = 8 | err = 0.5171849427168577
n = 611 | d = 341 | goodJ.size() = 6 | err = 0.5531914893617021
n = 611 | d = 351 | goodJ.size() = 7 | err = 0.5040916530278232
n = 611 | d = 361 | goodJ.size() = 10 | err = 0.48608837970540103
n = 611 | d = 371 | goodJ.size() = 8 | err = 0.5090016366612111
n = 611 | d = 381 | goodJ.size() = 9 | err = 0.4959083469721768
n = 611 | d = 391 | goodJ.size() = 8 | err = 0.5220949263502456
n = 611 | d = 401 | goodJ.size() = 8 | err = 0.5073649754500819
n = 611 | d = 411 | goodJ.size() = 6 | err = 0.49918166939443537
n = 611 | d = 421 | goodJ.size() = 9 | err = 0.5155482815057283
n = 611 | d = 431 | goodJ.size() = 11 | err = 0.4844517184942717
n = 611 | d = 441 | goodJ.size() = 7 | err = 0.45662847790507366
n = 611 | d = 451 | goodJ.size() = 9 | err = 0.5073649754500819
n = 611 | d = 461 | goodJ.size() = 13 | err = 0.4893617021276596
n = 611 | d = 471 | goodJ.size() = 17 | err = 0.5188216039279869
n = 611 | d = 481 | goodJ.size() = 7 | err = 0.4795417348608838
n = 611 | d = 491 | goodJ.size() = 10 | err = 0.5106382978723405
n = 611 | d = 501 | goodJ.size() = 9 | err = 0.502454991816694
n = 611 | d = 511 | goodJ.size() = 12 | err = 0.5008183306055647
n = 611 | d = 521 | goodJ.size() = 12 | err = 0.4926350245499182
n = 611 | d = 531 | goodJ.size() = 11 | err = 0.4975450081833061
n = 611 | d = 541 | goodJ.size() = 16 | err = 0.46644844517184947
n = 611 | d = 551 | goodJ.size() = 4 | err = 0.4762684124386252
n = 611 | d = 561 | goodJ.size() = 14 | err = 0.5008183306055647
n = 611 | d = 571 | goodJ.size() = 11 | err = 0.5073649754500819
n = 611 | d = 581 | goodJ.size() = 14 | err = 0.5122749590834698
n = 611 | d = 591 | goodJ.size() = 16 | err = 0.5253682487725041
n = 611 | d = 601 | goodJ.size() = 16 | err = 0.4811783960720131
n = 611 | d = 611 | goodJ.size() = 15 | err = 0.4959083469721768
n = 611 | d = 621 | goodJ.size() = 11 | err = 0.5171849427168577
n = 611 | d = 631 | goodJ.size() = 19 | err = 0.47790507364975454
n = 611 | d = 641 | goodJ.size() = 13 | err = 0.4844517184942717
n = 611 | d = 651 | goodJ.size() = 25 | err = 0.5155482815057283
n = 611 | d = 661 | goodJ.size() = 12 | err = 0.4877250409165303
n = 611 | d = 671 | goodJ.size() = 15 | err = 0.4975450081833061
n = 611 | d = 681 | goodJ.size() = 17 | err = 0.4926350245499182
n = 611 | d = 691 | goodJ.size() = 20 | err = 0.5171849427168577
n = 611 | d = 701 | goodJ.size() = 26 | err = 0.4909983633387889
n = 611 | d = 711 | goodJ.size() = 19 | err = 0.5106382978723405
n = 611 | d = 721 | goodJ.size() = 17 | err = 0.47790507364975454
n = 611 | d = 731 | goodJ.size() = 15 | err = 0.47463175122749596
n = 611 | d = 741 | goodJ.size() = 16 | err = 0.4926350245499182
n = 611 | d = 751 | goodJ.size() = 14 | err = 0.5122749590834698
n = 611 | d = 761 | goodJ.size() = 15 | err = 0.5237315875613748
n = 611 | d = 771 | goodJ.size() = 20 | err = 0.4926350245499182
n = 611 | d = 781 | goodJ.size() = 16 | err = 0.5253682487725041
n = 611 | d = 791 | goodJ.size() = 17 | err = 0.5400981996726678
n = 611 | d = 801 | goodJ.size() = 20 | err = 0.5040916530278232
n = 611 | d = 811 | goodJ.size() = 19 | err = 0.4811783960720131
n = 611 | d = 821 | goodJ.size() = 15 | err = 0.4975450081833061
n = 611 | d = 831 | goodJ.size() = 18 | err = 0.4909983633387889
n = 611 | d = 841 | goodJ.size() = 12 | err = 0.5171849427168577
n = 611 | d = 851 | goodJ.size() = 25 | err = 0.48608837970540103
n = 611 | d = 861 | goodJ.size() = 21 | err = 0.5155482815057283
n = 611 | d = 871 | goodJ.size() = 18 | err = 0.4877250409165303
n = 611 | d = 881 | goodJ.size() = 16 | err = 0.49427168576104746
n = 611 | d = 891 | goodJ.size() = 22 | err = 0.5090016366612111
n = 611 | d = 901 | goodJ.size() = 16 | err = 0.5351882160392799
n = 611 | d = 911 | goodJ.size() = 21 | err = 0.5008183306055647
n = 611 | d = 921 | goodJ.size() = 19 | err = 0.4877250409165303
n = 611 | d = 931 | goodJ.size() = 23 | err = 0.47299509001636664
n = 611 | d = 941 | goodJ.size() = 20 | err = 0.5204582651391162
n = 611 | d = 951 | goodJ.size() = 22 | err = 0.4828150572831424
n = 611 | d = 961 | goodJ.size() = 21 | err = 0.5253682487725041
n = 611 | d = 971 | goodJ.size() = 30 | err = 0.48608837970540103
n = 611 | d = 981 | goodJ.size() = 24 | err = 0.49427168576104746
n = 611 | d = 991 | goodJ.size() = 15 | err = 0.47463175122749596
n = 621 | d = 1 | goodJ.size() = 0 | err = 0.5136876006441223
n = 621 | d = 11 | goodJ.size() = 1 | err = 0.5120772946859904
n = 621 | d = 21 | goodJ.size() = 0 | err = 0.4718196457326892
n = 621 | d = 31 | goodJ.size() = 0 | err = 0.5136876006441223
n = 621 | d = 41 | goodJ.size() = 0 | err = 0.5072463768115942
n = 621 | d = 51 | goodJ.size() = 1 | err = 0.5120772946859904
n = 621 | d = 61 | goodJ.size() = 2 | err = 0.5040257648953301
n = 621 | d = 71 | goodJ.size() = 0 | err = 0.4895330112721417
n = 621 | d = 81 | goodJ.size() = 2 | err = 0.5201288244766505
n = 621 | d = 91 | goodJ.size() = 1 | err = 0.5056360708534622
n = 621 | d = 101 | goodJ.size() = 2 | err = 0.5088566827697263
n = 621 | d = 111 | goodJ.size() = 3 | err = 0.4750402576489533
n = 621 | d = 121 | goodJ.size() = 4 | err = 0.5104669887278583
n = 621 | d = 131 | goodJ.size() = 5 | err = 0.499194847020934
n = 621 | d = 141 | goodJ.size() = 4 | err = 0.500805152979066
n = 621 | d = 151 | goodJ.size() = 5 | err = 0.500805152979066
n = 621 | d = 161 | goodJ.size() = 4 | err = 0.5024154589371981
n = 621 | d = 171 | goodJ.size() = 2 | err = 0.4927536231884058
n = 621 | d = 181 | goodJ.size() = 6 | err = 0.5297906602254429
n = 621 | d = 191 | goodJ.size() = 1 | err = 0.48792270531400966
n = 621 | d = 201 | goodJ.size() = 7 | err = 0.45410628019323673
n = 621 | d = 211 | goodJ.size() = 1 | err = 0.5201288244766505
n = 621 | d = 221 | goodJ.size() = 6 | err = 0.500805152979066
n = 621 | d = 231 | goodJ.size() = 6 | err = 0.5265700483091788
n = 621 | d = 241 | goodJ.size() = 5 | err = 0.4830917874396135
n = 621 | d = 251 | goodJ.size() = 5 | err = 0.500805152979066
n = 621 | d = 261 | goodJ.size() = 5 | err = 0.5233494363929146
n = 621 | d = 271 | goodJ.size() = 4 | err = 0.5362318840579711
n = 621 | d = 281 | goodJ.size() = 7 | err = 0.499194847020934
n = 621 | d = 291 | goodJ.size() = 4 | err = 0.5040257648953301
n = 621 | d = 301 | goodJ.size() = 3 | err = 0.4895330112721417
n = 621 | d = 311 | goodJ.size() = 4 | err = 0.5249597423510467
n = 621 | d = 321 | goodJ.size() = 9 | err = 0.5185185185185185
n = 621 | d = 331 | goodJ.size() = 8 | err = 0.5104669887278583
n = 621 | d = 341 | goodJ.size() = 9 | err = 0.5056360708534622
n = 621 | d = 351 | goodJ.size() = 3 | err = 0.47020933977455714
n = 621 | d = 361 | goodJ.size() = 7 | err = 0.4830917874396135
n = 621 | d = 371 | goodJ.size() = 7 | err = 0.44605475040257647
n = 621 | d = 381 | goodJ.size() = 7 | err = 0.5136876006441223
n = 621 | d = 391 | goodJ.size() = 3 | err = 0.5040257648953301
n = 621 | d = 401 | goodJ.size() = 9 | err = 0.47020933977455714
n = 621 | d = 411 | goodJ.size() = 5 | err = 0.5024154589371981
n = 621 | d = 421 | goodJ.size() = 7 | err = 0.4927536231884058
n = 621 | d = 431 | goodJ.size() = 9 | err = 0.4927536231884058
n = 621 | d = 441 | goodJ.size() = 9 | err = 0.5072463768115942
n = 621 | d = 451 | goodJ.size() = 11 | err = 0.500805152979066
n = 621 | d = 461 | goodJ.size() = 7 | err = 0.49114331723027377
n = 621 | d = 471 | goodJ.size() = 12 | err = 0.4782608695652174
n = 621 | d = 481 | goodJ.size() = 12 | err = 0.49597423510466987
n = 621 | d = 491 | goodJ.size() = 15 | err = 0.4750402576489533
n = 621 | d = 501 | goodJ.size() = 11 | err = 0.4895330112721417
n = 621 | d = 511 | goodJ.size() = 11 | err = 0.5072463768115942
n = 621 | d = 521 | goodJ.size() = 7 | err = 0.47665056360708535
n = 621 | d = 531 | goodJ.size() = 15 | err = 0.5024154589371981
n = 621 | d = 541 | goodJ.size() = 11 | err = 0.5120772946859904
n = 621 | d = 551 | goodJ.size() = 7 | err = 0.49114331723027377
n = 621 | d = 561 | goodJ.size() = 13 | err = 0.4863123993558776
n = 621 | d = 571 | goodJ.size() = 15 | err = 0.537842190016103
n = 621 | d = 581 | goodJ.size() = 11 | err = 0.49597423510466987
n = 621 | d = 591 | goodJ.size() = 13 | err = 0.5040257648953301
n = 621 | d = 601 | goodJ.size() = 13 | err = 0.5152979066022544
n = 621 | d = 611 | goodJ.size() = 11 | err = 0.5120772946859904
n = 621 | d = 621 | goodJ.size() = 8 | err = 0.4830917874396135
n = 621 | d = 631 | goodJ.size() = 12 | err = 0.500805152979066
n = 621 | d = 641 | goodJ.size() = 21 | err = 0.500805152979066
n = 621 | d = 651 | goodJ.size() = 18 | err = 0.5056360708534622
n = 621 | d = 661 | goodJ.size() = 8 | err = 0.5088566827697263
n = 621 | d = 671 | goodJ.size() = 14 | err = 0.49597423510466987
n = 621 | d = 681 | goodJ.size() = 15 | err = 0.5152979066022544
n = 621 | d = 691 | goodJ.size() = 12 | err = 0.5217391304347826
n = 621 | d = 701 | goodJ.size() = 13 | err = 0.4830917874396135
n = 621 | d = 711 | goodJ.size() = 15 | err = 0.49597423510466987
n = 621 | d = 721 | goodJ.size() = 14 | err = 0.4975845410628019
n = 621 | d = 731 | goodJ.size() = 14 | err = 0.499194847020934
n = 621 | d = 741 | goodJ.size() = 18 | err = 0.5442834138486312
n = 621 | d = 751 | goodJ.size() = 15 | err = 0.4782608695652174
n = 621 | d = 761 | goodJ.size() = 23 | err = 0.5201288244766505
n = 621 | d = 771 | goodJ.size() = 16 | err = 0.5265700483091788
n = 621 | d = 781 | goodJ.size() = 18 | err = 0.4750402576489533
n = 621 | d = 791 | goodJ.size() = 18 | err = 0.5201288244766505
n = 621 | d = 801 | goodJ.size() = 20 | err = 0.5152979066022544
n = 621 | d = 811 | goodJ.size() = 15 | err = 0.533011272141707
n = 621 | d = 821 | goodJ.size() = 13 | err = 0.5040257648953301
n = 621 | d = 831 | goodJ.size() = 17 | err = 0.49114331723027377
n = 621 | d = 841 | goodJ.size() = 19 | err = 0.48792270531400966
n = 621 | d = 851 | goodJ.size() = 16 | err = 0.49597423510466987
n = 621 | d = 861 | goodJ.size() = 16 | err = 0.5217391304347826
n = 621 | d = 871 | goodJ.size() = 16 | err = 0.499194847020934
n = 621 | d = 881 | goodJ.size() = 25 | err = 0.4975845410628019
n = 621 | d = 891 | goodJ.size() = 23 | err = 0.47987117552334946
n = 621 | d = 901 | goodJ.size() = 23 | err = 0.4524959742351047
n = 621 | d = 911 | goodJ.size() = 15 | err = 0.5217391304347826
n = 621 | d = 921 | goodJ.size() = 18 | err = 0.5040257648953301
n = 621 | d = 931 | goodJ.size() = 22 | err = 0.4863123993558776
n = 621 | d = 941 | goodJ.size() = 20 | err = 0.4927536231884058
n = 621 | d = 951 | goodJ.size() = 12 | err = 0.47342995169082125
n = 621 | d = 961 | goodJ.size() = 24 | err = 0.48792270531400966
n = 621 | d = 971 | goodJ.size() = 23 | err = 0.47665056360708535
n = 621 | d = 981 | goodJ.size() = 18 | err = 0.5362318840579711
n = 621 | d = 991 | goodJ.size() = 22 | err = 0.5024154589371981
n = 631 | d = 1 | goodJ.size() = 0 | err = 0.4944532488114105
n = 631 | d = 11 | goodJ.size() = 0 | err = 0.508716323296355
n = 631 | d = 21 | goodJ.size() = 1 | err = 0.526148969889065
n = 631 | d = 31 | goodJ.size() = 0 | err = 0.4944532488114105
n = 631 | d = 41 | goodJ.size() = 3 | err = 0.4706814580031696
n = 631 | d = 51 | goodJ.size() = 0 | err = 0.5023771790808241
n = 631 | d = 61 | goodJ.size() = 0 | err = 0.4944532488114105
n = 631 | d = 71 | goodJ.size() = 1 | err = 0.5039619651347068
n = 631 | d = 81 | goodJ.size() = 2 | err = 0.4786053882725832
n = 631 | d = 91 | goodJ.size() = 2 | err = 0.5118858954041204
n = 631 | d = 101 | goodJ.size() = 4 | err = 0.4865293185419968
n = 631 | d = 111 | goodJ.size() = 3 | err = 0.5007923930269413
n = 631 | d = 121 | goodJ.size() = 7 | err = 0.4960380348652932
n = 631 | d = 131 | goodJ.size() = 3 | err = 0.4960380348652932
n = 631 | d = 141 | goodJ.size() = 3 | err = 0.48494453248811414
n = 631 | d = 151 | goodJ.size() = 5 | err = 0.5134706814580032
n = 631 | d = 161 | goodJ.size() = 4 | err = 0.5150554675118859
n = 631 | d = 171 | goodJ.size() = 4 | err = 0.4770206022187005
n = 631 | d = 181 | goodJ.size() = 5 | err = 0.4865293185419968
n = 631 | d = 191 | goodJ.size() = 5 | err = 0.46751188589540416
n = 631 | d = 201 | goodJ.size() = 9 | err = 0.49128367670364503
n = 631 | d = 211 | goodJ.size() = 7 | err = 0.49920760697305866
n = 631 | d = 221 | goodJ.size() = 7 | err = 0.48811410459587956
n = 631 | d = 231 | goodJ.size() = 5 | err = 0.4722662440570523
n = 631 | d = 241 | goodJ.size() = 5 | err = 0.48494453248811414
n = 631 | d = 251 | goodJ.size() = 8 | err = 0.4896988906497623
n = 631 | d = 261 | goodJ.size() = 1 | err = 0.5166402535657686
n = 631 | d = 271 | goodJ.size() = 10 | err = 0.49128367670364503
n = 631 | d = 281 | goodJ.size() = 3 | err = 0.508716323296355
n = 631 | d = 291 | goodJ.size() = 3 | err = 0.48494453248811414
n = 631 | d = 301 | goodJ.size() = 11 | err = 0.5198098256735341
n = 631 | d = 311 | goodJ.size() = 8 | err = 0.4722662440570523
n = 631 | d = 321 | goodJ.size() = 7 | err = 0.4865293185419968
n = 631 | d = 331 | goodJ.size() = 6 | err = 0.5134706814580032
n = 631 | d = 341 | goodJ.size() = 9 | err = 0.48177496038034867
n = 631 | d = 351 | goodJ.size() = 5 | err = 0.5388272583201268
n = 631 | d = 361 | goodJ.size() = 10 | err = 0.5055467511885896
n = 631 | d = 371 | goodJ.size() = 12 | err = 0.44215530903328054
n = 631 | d = 381 | goodJ.size() = 7 | err = 0.4865293185419968
n = 631 | d = 391 | goodJ.size() = 10 | err = 0.4754358161648178
n = 631 | d = 401 | goodJ.size() = 10 | err = 0.5277337559429477
n = 631 | d = 411 | goodJ.size() = 10 | err = 0.4706814580031696
n = 631 | d = 421 | goodJ.size() = 7 | err = 0.5150554675118859
n = 631 | d = 431 | goodJ.size() = 3 | err = 0.5245641838351822
n = 631 | d = 441 | goodJ.size() = 11 | err = 0.48811410459587956
n = 631 | d = 451 | goodJ.size() = 7 | err = 0.5229793977812995
n = 631 | d = 461 | goodJ.size() = 15 | err = 0.48177496038034867
n = 631 | d = 471 | goodJ.size() = 9 | err = 0.5483359746434232
n = 631 | d = 481 | goodJ.size() = 9 | err = 0.5023771790808241
n = 631 | d = 491 | goodJ.size() = 16 | err = 0.5213946117274169
n = 631 | d = 501 | goodJ.size() = 14 | err = 0.48811410459587956
n = 631 | d = 511 | goodJ.size() = 9 | err = 0.48177496038034867
n = 631 | d = 521 | goodJ.size() = 14 | err = 0.5039619651347068
n = 631 | d = 531 | goodJ.size() = 12 | err = 0.5055467511885896
n = 631 | d = 541 | goodJ.size() = 12 | err = 0.5134706814580032
n = 631 | d = 551 | goodJ.size() = 17 | err = 0.5277337559429477
n = 631 | d = 561 | goodJ.size() = 17 | err = 0.4706814580031696
n = 631 | d = 571 | goodJ.size() = 12 | err = 0.5245641838351822
n = 631 | d = 581 | goodJ.size() = 14 | err = 0.5198098256735341
n = 631 | d = 591 | goodJ.size() = 9 | err = 0.4960380348652932
n = 631 | d = 601 | goodJ.size() = 13 | err = 0.5103011093502378
n = 631 | d = 611 | goodJ.size() = 13 | err = 0.5134706814580032
n = 631 | d = 621 | goodJ.size() = 15 | err = 0.5150554675118859
n = 631 | d = 631 | goodJ.size() = 18 | err = 0.5071315372424723
n = 631 | d = 641 | goodJ.size() = 21 | err = 0.5103011093502378
n = 631 | d = 651 | goodJ.size() = 13 | err = 0.4611727416798732
n = 631 | d = 661 | goodJ.size() = 18 | err = 0.4976228209191759
n = 631 | d = 671 | goodJ.size() = 16 | err = 0.48494453248811414
n = 631 | d = 681 | goodJ.size() = 14 | err = 0.5118858954041204
n = 631 | d = 691 | goodJ.size() = 13 | err = 0.4786053882725832
n = 631 | d = 701 | goodJ.size() = 9 | err = 0.49286846275752777
n = 631 | d = 711 | goodJ.size() = 22 | err = 0.4722662440570523
n = 631 | d = 721 | goodJ.size() = 21 | err = 0.46751188589540416
n = 631 | d = 731 | goodJ.size() = 17 | err = 0.49286846275752777
n = 631 | d = 741 | goodJ.size() = 24 | err = 0.49920760697305866
n = 631 | d = 751 | goodJ.size() = 12 | err = 0.49286846275752777
n = 631 | d = 761 | goodJ.size() = 21 | err = 0.48177496038034867
n = 631 | d = 771 | goodJ.size() = 18 | err = 0.4770206022187005
n = 631 | d = 781 | goodJ.size() = 16 | err = 0.5055467511885896
n = 631 | d = 791 | goodJ.size() = 20 | err = 0.5007923930269413
n = 631 | d = 801 | goodJ.size() = 22 | err = 0.5309033280507132
n = 631 | d = 811 | goodJ.size() = 19 | err = 0.5182250396196514
n = 631 | d = 821 | goodJ.size() = 15 | err = 0.5134706814580032
n = 631 | d = 831 | goodJ.size() = 16 | err = 0.4722662440570523
n = 631 | d = 841 | goodJ.size() = 21 | err = 0.5007923930269413
n = 631 | d = 851 | goodJ.size() = 29 | err = 0.4659270998415214
n = 631 | d = 861 | goodJ.size() = 20 | err = 0.4865293185419968
n = 631 | d = 871 | goodJ.size() = 21 | err = 0.48494453248811414
n = 631 | d = 881 | goodJ.size() = 28 | err = 0.5103011093502378
n = 631 | d = 891 | goodJ.size() = 18 | err = 0.47385103011093505
n = 631 | d = 901 | goodJ.size() = 20 | err = 0.4960380348652932
n = 631 | d = 911 | goodJ.size() = 15 | err = 0.4944532488114105
n = 631 | d = 921 | goodJ.size() = 26 | err = 0.4722662440570523
n = 631 | d = 931 | goodJ.size() = 29 | err = 0.5071315372424723
n = 631 | d = 941 | goodJ.size() = 16 | err = 0.48494453248811414
n = 631 | d = 951 | goodJ.size() = 19 | err = 0.5530903328050714
n = 631 | d = 961 | goodJ.size() = 24 | err = 0.5229793977812995
n = 631 | d = 971 | goodJ.size() = 20 | err = 0.5023771790808241
n = 631 | d = 981 | goodJ.size() = 15 | err = 0.5118858954041204
n = 631 | d = 991 | goodJ.size() = 28 | err = 0.526148969889065
n = 641 | d = 1 | goodJ.size() = 0 | err = 0.4929797191887676
n = 641 | d = 11 | goodJ.size() = 1 | err = 0.5023400936037442
n = 641 | d = 21 | goodJ.size() = 0 | err = 0.5070202808112325
n = 641 | d = 31 | goodJ.size() = 1 | err = 0.4929797191887676
n = 641 | d = 41 | goodJ.size() = 2 | err = 0.49453978159126366
n = 641 | d = 51 | goodJ.size() = 1 | err = 0.5366614664586584
n = 641 | d = 61 | goodJ.size() = 1 | err = 0.5475819032761311
n = 641 | d = 71 | goodJ.size() = 2 | err = 0.5023400936037442
n = 641 | d = 81 | goodJ.size() = 0 | err = 0.49765990639625585
n = 641 | d = 91 | goodJ.size() = 3 | err = 0.5132605304212169
n = 641 | d = 101 | goodJ.size() = 2 | err = 0.4960998439937598
n = 641 | d = 111 | goodJ.size() = 2 | err = 0.4960998439937598
n = 641 | d = 121 | goodJ.size() = 5 | err = 0.5226209048361935
n = 641 | d = 131 | goodJ.size() = 0 | err = 0.516380655226209
n = 641 | d = 141 | goodJ.size() = 5 | err = 0.48049921996879874
n = 641 | d = 151 | goodJ.size() = 2 | err = 0.46021840873634945
n = 641 | d = 161 | goodJ.size() = 3 | err = 0.49921996879875197
n = 641 | d = 171 | goodJ.size() = 5 | err = 0.45553822152886114
n = 641 | d = 181 | goodJ.size() = 3 | err = 0.4882995319812793
n = 641 | d = 191 | goodJ.size() = 1 | err = 0.45241809672386896
n = 641 | d = 201 | goodJ.size() = 3 | err = 0.48049921996879874
n = 641 | d = 211 | goodJ.size() = 9 | err = 0.4882995319812793
n = 641 | d = 221 | goodJ.size() = 1 | err = 0.48517940717628705
n = 641 | d = 231 | goodJ.size() = 5 | err = 0.5522620904836194
n = 641 | d = 241 | goodJ.size() = 6 | err = 0.5117004680187207
n = 641 | d = 251 | goodJ.size() = 6 | err = 0.5117004680187207
n = 641 | d = 261 | goodJ.size() = 6 | err = 0.5304212168486739
n = 641 | d = 271 | goodJ.size() = 8 | err = 0.5101404056162246
n = 641 | d = 281 | goodJ.size() = 7 | err = 0.5382215288611545
n = 641 | d = 291 | goodJ.size() = 10 | err = 0.49453978159126366
n = 641 | d = 301 | goodJ.size() = 7 | err = 0.5444617784711389
n = 641 | d = 311 | goodJ.size() = 7 | err = 0.5054602184087363
n = 641 | d = 321 | goodJ.size() = 9 | err = 0.5117004680187207
n = 641 | d = 331 | goodJ.size() = 8 | err = 0.514820592823713
n = 641 | d = 341 | goodJ.size() = 10 | err = 0.4664586583463339
n = 641 | d = 351 | goodJ.size() = 7 | err = 0.46957878315132606
n = 641 | d = 361 | goodJ.size() = 6 | err = 0.5054602184087363
n = 641 | d = 371 | goodJ.size() = 6 | err = 0.48985959438377535
n = 641 | d = 381 | goodJ.size() = 15 | err = 0.5257410296411856
n = 641 | d = 391 | goodJ.size() = 5 | err = 0.46801872074883
n = 641 | d = 401 | goodJ.size() = 4 | err = 0.5070202808112325
n = 641 | d = 411 | goodJ.size() = 8 | err = 0.5023400936037442
n = 641 | d = 421 | goodJ.size() = 7 | err = 0.49453978159126366
n = 641 | d = 431 | goodJ.size() = 4 | err = 0.5070202808112325
n = 641 | d = 441 | goodJ.size() = 15 | err = 0.48205928237129486
n = 641 | d = 451 | goodJ.size() = 19 | err = 0.48049921996879874
n = 641 | d = 461 | goodJ.size() = 14 | err = 0.5241809672386896
n = 641 | d = 471 | goodJ.size() = 5 | err = 0.4539781591263651
n = 641 | d = 481 | goodJ.size() = 19 | err = 0.5304212168486739
n = 641 | d = 491 | goodJ.size() = 10 | err = 0.5257410296411856
n = 641 | d = 501 | goodJ.size() = 18 | err = 0.500780031201248
n = 641 | d = 511 | goodJ.size() = 6 | err = 0.5023400936037442
n = 641 | d = 521 | goodJ.size() = 18 | err = 0.4914196567862715
n = 641 | d = 531 | goodJ.size() = 10 | err = 0.5054602184087363
n = 641 | d = 541 | goodJ.size() = 14 | err = 0.500780031201248
n = 641 | d = 551 | goodJ.size() = 14 | err = 0.4929797191887676
n = 641 | d = 561 | goodJ.size() = 21 | err = 0.514820592823713
n = 641 | d = 571 | goodJ.size() = 12 | err = 0.483619344773791
n = 641 | d = 581 | goodJ.size() = 11 | err = 0.483619344773791
n = 641 | d = 591 | goodJ.size() = 16 | err = 0.49453978159126366
n = 641 | d = 601 | goodJ.size() = 14 | err = 0.4914196567862715
n = 641 | d = 611 | goodJ.size() = 20 | err = 0.46177847113884557
n = 641 | d = 621 | goodJ.size() = 14 | err = 0.5070202808112325
n = 641 | d = 631 | goodJ.size() = 16 | err = 0.5288611544461779
